income,debt_ratio,credit_score,employment_years,loan_amount,interest_rate,num_accounts,delinquencies,credit_utilization,monthly_payment,loan_term,savings,age,gender,default
85652.0,-2.570025819997714,516.0,9.6,57490.0,2.0,-1.3895371545329416,-4.6150986790628235,0.11424491483802555,-0.02741526147180129,0.8001627903109729,1.1218402427450922,25-40,M,0
85146.0,0.8421494452509989,850.0,13.2,1000.0,2.0,5.010904915897587,1.2315807236376983,-1.7566760634058711,-2.5869595798234597,1.7116131329839686,-0.9287818946120225,>60,M,0
25401.0,-1.1957517081800233,850.0,12.8,1000.0,2.0,7.098196957101231,2.529541133304523,-1.8619747640016502,4.249370151865024,1.4262476562035058,1.9765857502023736,40-60,F,0
35142.0,0.7190048575580164,588.0,14.4,8806.0,12.56,-0.34152544989715494,-1.1086445165490604,0.32265405302143124,0.5358223345287159,-0.32286117528032476,-0.24231067996625177,40-60,M,0
10273.0,2.152414802401018,505.0,7.5,1000.0,24.24,0.1400724028972695,0.5434301442347944,-0.893492250908079,2.3157465770814922,-1.394728387343075,3.1825954078886465,25-40,M,1
30905.0,-0.7672481884796921,841.0,11.0,29506.0,2.0,1.7902550228857048,-1.0096341556258543,2.012281004744113,1.956364479966222,1.196273746125889,1.1062001365544218,25-40,F,0
49045.0,3.817943114918775,663.0,12.0,1000.0,2.58,1.4619426105451896,-1.285321951274975,0.20381322932288162,-0.4605621831294806,0.06766328969152025,-1.9148870121371258,<25,M,0
26144.0,-2.7998080328210704,799.0,7.3,1000.0,7.38,2.7551121575661344,0.9965473401881593,0.9007393302731922,0.7085696339845589,1.9317822140548433,1.720429545735099,>60,F,0
86614.0,-0.0555209999453411,850.0,10.3,1000.0,2.0,5.312989297479821,0.15710910652448185,-0.4852006420821393,-0.7443807111741794,-1.045553525596922,-0.11404105313811963,40-60,M,1
50441.0,-3.522659556289915,839.0,9.4,53144.0,2.0,1.4828312714885856,-1.3742160358482067,1.0724252369221658,1.4732495655510103,1.8252250761380742,1.8034635249640012,40-60,M,0
8285.0,-1.0937018226005752,850.0,9.6,1000.0,2.0,5.715228499768417,2.4260607894171207,-0.991405846592298,3.4611428737459526,3.337318266887853,2.212022252765556,<25,M,0
-3115.0,-0.08936247522275198,850.0,2.6,1000.0,22.14,3.936163027543752,1.0545835617076253,1.1936227854251766,0.1689456643890943,-0.02341721828596377,1.1953174762195276,>60,M,0
11469.0,-1.4359322208833984,850.0,2.6,1000.0,2.0,5.31543916534659,1.1182474961144195,0.6359739396990048,2.3109381697450666,2.664271743372982,2.8712884625916963,40-60,F,0
38203.0,-2.3688899535050183,707.0,12.7,62238.0,14.97,-0.09172050261386161,2.388229452186857,-0.23470831694375952,1.8497306251518362,0.7243916181690683,0.14747132819064568,25-40,M,0
79707.0,-0.7004642853282812,812.0,6.1,1000.0,2.0,4.627496423520054,-0.27195401836374655,0.778678146210554,0.09240999958146734,1.9334950001736093,-1.625297000701622,25-40,M,0
68566.0,1.6648638329476464,680.0,15.8,27790.0,4.72,0.7141285212683907,0.5292607254569135,-0.273367194775932,-0.9643195069823128,0.16170516661220924,-1.567831325470975,25-40,M,0
106738.0,-4.404050748412361,755.0,7.9,25427.0,2.0,3.5909262042549694,1.423438705197753,1.0789965567023372,3.3949681601626787,-0.3870831745789334,0.8339913501972778,25-40,M,1
30352.0,-0.7308770880622579,736.0,4.4,40909.0,2.0,1.0292397124240134,0.2564174646033557,0.13292470170889864,1.7831291500318787,3.354465254241991,0.915630807811969,40-60,F,0
42258.0,-2.6232907023609924,794.0,8.3,9365.0,2.0,2.515909633889559,0.37314316481124965,-0.16653716513787817,1.5494204091749795,2.400615064243269,-0.06523232898923814,25-40,M,1
30783.0,-2.822940702796644,796.0,10.0,46065.0,7.1,0.7040223276947009,0.6728992526027373,-0.9173874677803909,0.43371627960372117,2.0307457567491793,0.6639636278521073,25-40,F,0
44970.0,-0.26725927436469854,850.0,3.9,38522.0,2.0,2.7695322903217208,-0.3074961731933803,1.4815349971283929,-0.630677943144192,2.067178278080906,0.8239180023269734,40-60,F,1
59750.0,-3.375085907102805,699.0,7.0,38405.0,2.0,1.215487974543003,-1.8220586454847858,0.664662568209133,1.4632594254799247,2.8817014484678043,2.2685485093334528,<25,F,0
-6019.0,0.8733343701706151,850.0,0.0,1000.0,11.5,3.050371545528564,0.46369377303616033,0.09496429123151949,2.1479396543738885,0.8593779297618077,0.9753352734199662,25-40,F,0
68022.0,1.9910122884736836,850.0,10.2,1000.0,2.0,4.136345659009937,0.8560454338877389,-0.07986455474719384,-2.3254860448799723,0.4125644732203384,-3.079445394614733,25-40,M,0
71179.0,-1.1985841660603707,714.0,3.4,1000.0,2.0,3.0243539299938695,0.8253855138879181,0.45668161082992204,-0.25956185004087184,0.8483366814365437,-2.351824099792799,25-40,M,1
25872.0,-1.1483625029276774,770.0,4.2,1000.0,2.51,2.9801046697236893,0.5954136946574049,0.2325800712937796,1.6421947096653917,2.038790666956363,1.6690093544929814,40-60,M,0
37626.0,2.3319791223235233,682.0,11.8,4549.0,21.07,0.47356233573526135,1.7053106584788251,-0.997042099104915,-1.5883782832765312,-0.6535762343862341,0.07873907595756258,25-40,F,0
51530.0,-2.9840474678701816,746.0,6.4,21443.0,2.0,2.2001751269902665,-3.1943617105571294,-0.5754968043154589,2.481009954070239,3.1363821744807194,3.668367343150978,40-60,F,0
76504.0,0.7142633466165252,686.0,11.6,50733.0,2.0,1.0425671920970438,-0.17805605167465144,1.5121646852544326,0.5000208196498905,2.359240459473982,-0.5787369775328133,40-60,M,0
58721.0,3.1704622867470102,542.0,11.2,1000.0,2.0,1.1287694723144783,-2.251843411071766,0.939568287694662,-1.61877509068831,2.3096127631227685,-0.7973710528778432,<25,F,0
32550.0,0.09413081307177185,749.0,12.9,1000.0,2.0,3.1480861882303066,-0.7930526990624005,0.9287014719329582,-1.7242067698594594,3.410557620788617,-0.8193175120389382,40-60,M,0
55815.0,-1.7819095279653434,797.0,7.2,8610.0,8.37,1.4535416122462883,-1.6107224682107066,1.130263351877745,-0.988637162400842,-0.8560749973895532,-0.09654131090450224,25-40,F,1
52132.0,-1.3567722305939516,850.0,13.1,45567.0,2.0,2.7409276695294214,0.7231006079332029,-0.16905083142570593,0.8304360433569329,2.064684243353143,2.292976400959228,<25,M,1
72508.0,2.186686684927752,850.0,4.4,5969.0,2.0,4.478101778048666,2.1371621197505237,0.9282739564631063,-1.9132727178726645,1.289501185289297,-2.24521442577791,>60,F,0
35802.0,-0.3522161733191841,734.0,5.8,1000.0,9.92,1.7620369778918052,-0.7546717149678192,-0.5989383049973993,0.631472891013565,-0.31634563007544303,0.8353372070602549,>60,F,1
27368.0,2.948590066832515,338.0,12.8,37320.0,21.0,-3.7605076549600276,-0.47240610762816626,-0.6134886764681408,-1.018130379816346,0.12927220269908823,0.7149813344622129,40-60,M,0
75555.0,3.715838055497898,781.0,13.7,14248.0,2.0,2.382294033658054,1.498549704486503,-0.553440016800522,-2.0752219007961132,0.9548534063320719,-0.5246580243878649,25-40,M,0
-17374.0,-0.16017164846504173,850.0,11.5,17182.0,6.18,1.4834968115908502,0.8521586833171608,-0.395114402615243,0.973382718441279,4.102086738453648,1.556400436184454,<25,M,0
57913.0,-3.3706247150619055,573.0,11.5,35458.0,15.82,-2.172576457041201,-2.4649280389500845,1.0593403022062127,-3.988188447008861,-0.01879751414795028,-1.4484040175826702,40-60,M,1
35438.0,2.2951690869816703,850.0,9.2,16142.0,13.43,2.695378717130326,3.348950691814209,-1.292679500709976,-2.6651954775178446,1.3912738039283212,-2.4730202077888563,25-40,M,0
53530.0,-0.5217483636682292,472.0,12.3,30525.0,13.45,-2.106845716492121,-2.1866917631167113,-0.009700237065345476,-0.6281501869471315,-0.8466427217526442,-0.520365010602573,<25,F,0
